date,transaction_id,description,category,type,amount,balance
2022-01-01,TX00001,Daily Sales Deposit,Sales Revenue,Credit,802,15802
2022-01-02,TX00002,Daily Sales Deposit,Sales Revenue,Credit,970,16772
2022-01-03,TX00003,Daily Sales Deposit,Sales Revenue,Credit,888,17660
2022-01-04,TX00004,Daily Sales Deposit,Sales Revenue,Credit,821,18481
2022-01-04,TX00005,Utility Bill Payment,Operating Expense,Debit,430,18051
2022-01-05,TX00006,Daily Sales Deposit,Sales Revenue,Credit,787,18838
2022-01-06,TX00007,Daily Sales Deposit,Sales Revenue,Credit,1059,19897
2022-01-07,TX00008,Daily Sales Deposit,Sales Revenue,Credit,849,20746
2022-01-07,TX00009,Rent Payment,Operating Expense,Debit,443,20303
2022-01-08,TX00010,Daily Sales Deposit,Sales Revenue,Credit,1113,21416
2022-01-09,TX00011,Daily Sales Deposit,Sales Revenue,Credit,891,22307
2022-01-10,TX00012,Daily Sales Deposit,Sales Revenue,Credit,860,23167
2022-01-11,TX00013,Daily Sales Deposit,Sales Revenue,Credit,721,23888
2022-01-11,TX00014,Bakery Payment,COGS,Debit,444,23444
2022-01-12,TX00015,Daily Sales Deposit,Sales Revenue,Credit,1174,24618
2022-01-13,TX00016,Daily Sales Deposit,Sales Revenue,Credit,869,25487
2022-01-13,TX00017,Utility Bill Payment,Operating Expense,Debit,287,25200
2022-01-14,TX00018,Daily Sales Deposit,Sales Revenue,Credit,1063,26263
2022-01-15,TX00019,Daily Sales Deposit,Sales Revenue,Credit,1019,27282
2022-01-16,TX00020,Daily Sales Deposit,Sales Revenue,Credit,1184,28466
2022-01-17,TX00021,Daily Sales Deposit,Sales Revenue,Credit,720,29186
2022-01-18,TX00022,Daily Sales Deposit,Sales Revenue,Credit,973,30159
2022-01-19,TX00023,Daily Sales Deposit,Sales Revenue,Credit,1015,31174
2022-01-20,TX00024,Daily Sales Deposit,Sales Revenue,Credit,964,32138
2022-01-20,TX00025,Rent Payment,Operating Expense,Debit,485,31653
2022-01-21,TX00026,Daily Sales Deposit,Sales Revenue,Credit,791,32444
2022-01-22,TX00027,Daily Sales Deposit,Sales Revenue,Credit,1154,33598
2022-01-23,TX00028,Daily Sales Deposit,Sales Revenue,Credit,963,34561
2022-01-23,TX00029,Bakery Payment,COGS,Debit,305,34256
2022-01-24,TX00030,Daily Sales Deposit,Sales Revenue,Credit,1119,35375
2022-01-24,TX00031,Coffee Supplier Payment,COGS,Debit,487,34888
2022-01-25,TX00032,Daily Sales Deposit,Sales Revenue,Credit,1089,35977
2022-01-26,TX00033,Daily Sales Deposit,Sales Revenue,Credit,959,36936
2022-01-26,TX00034,Coffee Supplier Payment,COGS,Debit,290,36646
2022-01-27,TX00035,Daily Sales Deposit,Sales Revenue,Credit,917,37563
2022-01-28,TX00036,Daily Sales Deposit,Sales Revenue,Credit,901,38464
2022-01-29,TX00037,Daily Sales Deposit,Sales Revenue,Credit,969,39433
